Date,Volume,High,Low,Open,Close,Adj Close,Ticker
2021-01-04,1901900,1760.650024,1707.849976,1757.540039,1728.23999,1728.23999,GOOG
2021-01-05,1145300,1747.670044,1718.015015,1725,1740.920044,1740.920044,GOOG
2021-01-06,2602100,1748,1699,1702.630005,1735.290039,1735.290039,GOOG
2021-01-07,2265000,1788.400024,1737.050049,1740.060059,1787.25,1787.25,GOOG
2021-01-08,2050600,1809.839966,1773.535034,1787.97998,1807.209961,1807.209961,GOOG
2021-01-11,1209700,1794.314941,1760.52002,1786.069946,1766.719971,1766.719971,GOOG
2021-01-12,1357000,1778.040039,1725.310059,1753.920044,1746.550049,1746.550049,GOOG
2021-01-13,1094100,1765.035034,1738.01001,1738.579956,1754.400024,1754.400024,GOOG
2021-01-14,1179500,1775.01001,1733.400024,1753.619995,1740.180054,1740.180054,GOOG
2021-01-15,1342200,1756,1721.550049,1738.189941,1736.189941,1736.189941,GOOG
2021-01-19,1734600,1809.275024,1741.459961,1752.25,1790.859985,1790.859985,GOOG
2021-01-20,2490300,1903.709961,1825.530029,1831.459961,1886.900024,1886.900024,GOOG
2021-01-21,2063900,1934.859985,1887.109985,1898,1891.25,1891.25,GOOG
2021-01-22,1272100,1910.949951,1881.76001,1895.680054,1901.050049,1901.050049,GOOG
2021-01-25,1927300,1929.579956,1867.530029,1920.670044,1899.400024,1899.400024,GOOG
2021-01-26,1313100,1925,1884.244995,1888.839966,1917.23999,1917.23999,GOOG
2021-01-27,2748300,1890,1809,1882.530029,1830.790039,1830.790039,GOOG
2021-01-28,1773100,1898.829956,1842.640015,1843.939941,1863.109985,1863.109985,GOOG
2021-01-29,1612600,1857.280029,1810.199951,1846.170044,1835.73999,1835.73999,GOOG
2021-02-01,1602200,1922.391968,1850.930054,1853.569946,1901.349976,1901.349976,GOOG
2021-02-02,2273700,1955.76001,1914.48999,1922.560059,1927.51001,1927.51001,GOOG
2021-02-03,4118200,2116.5,2018.380005,2073,2070.070068,2070.070068,GOOG
2021-02-04,1852300,2078.550049,2042.589966,2068.889893,2062.370117,2062.370117,GOOG
2021-02-05,1535100,2102.51001,2059.330078,2070,2098,2098,GOOG
2021-02-08,1241900,2123.547119,2072,2105.909912,2092.909912,2092.909912,GOOG
2021-02-09,889900,2105.129883,2078.540039,2078.540039,2083.51001,2083.51001,GOOG
2021-02-10,1135500,2108.370117,2063.090088,2094.209961,2095.379883,2095.379883,GOOG
2021-02-11,945700,2102.030029,2077.320068,2099.51001,2095.889893,2095.889893,GOOG
2021-02-12,855700,2108.820068,2083.129883,2090.25,2104.110107,2104.110107,GOOG
2021-02-16,1133800,2152.679932,2104.360107,2104.360107,2121.899902,2121.899902,GOOG
2021-02-17,1070900,2133.659912,2098.919922,2100,2128.310059,2128.310059,GOOG
2021-02-18,1121600,2132.735107,2103.709961,2110.389893,2117.199951,2117.199951,GOOG
2021-02-19,1457400,2130.530029,2097.409912,2119.27002,2101.139893,2101.139893,GOOG
2021-02-22,1367500,2091.419922,2062.139893,2067,2064.879883,2064.879883,GOOG
2021-02-23,1667400,2082.01001,2002.02002,2025.01001,2070.860107,2070.860107,GOOG
2021-02-24,1248300,2100.780029,2038.130005,2041.829956,2095.169922,2095.169922,GOOG
2021-02-25,1828400,2094.879883,2021.290039,2067.449951,2031.359985,2031.359985,GOOG
2021-02-26,2083500,2071.01001,2016.060059,2050.52002,2036.859985,2036.859985,GOOG
2021-03-01,1404500,2086.52002,2046.099976,2056.52002,2081.51001,2081.51001,GOOG
2021-03-02,1134600,2104.370117,2071.26001,2076.189941,2075.840088,2075.840088,GOOG
2021-03-03,1484200,2088.518066,2010,2067.209961,2026.709961,2026.709961,GOOG
2021-03-04,2118000,2089.23999,2020.27002,2023.369995,2049.090088,2049.090088,GOOG
2021-03-05,2195200,2118.110107,2046.415039,2073.120117,2108.540039,2108.540039,GOOG
2021-03-08,1647400,2128.810059,2021.609985,2101.129883,2024.170044,2024.170044,GOOG
